"","Fish","Length_mm","n_surveys","homerange_km","cumuldist_km","winter22winter23_km","spring22spring23_km","summer21summer22_km","summer22summer23_km","summer21summer23_km","winter_section","spring_section","summer_section","winter_designation","spring_designation","summer_designation","mn_upstream_km","mn_winter_upstream_km","mn_spring_upstream_km","mn_summer_upstream_km"
"97",97,300,9,10.265234732049,24.4231658005193,NA,NA,4.68393239535751,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem/Trib",375.318304103901,373.248920073632,380.647703957003,374.842885016037
"98",98,296,8,13.203760390209,16.0221056907432,NA,0.55411557119477,NA,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",366.169024978558,363.367592677644,365.354764621386,376.571353067853
"99",99,324,12,65.9933715772228,132.535528104573,11.3662550699417,65.8933715772228,0.415861963142115,0.133794984151114,0.282066978991001,"Middle","Lower/Middle","Middle","Mainstem","Mainstem","Mainstem",358.30255533554,368.990838883885,341.627280630245,374.490747436425
"100",100,309,10,3.42450847110766,9.70640739630639,0.464131311997471,2.02015299027046,0.182066978990997,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",374.149022461618,374.341900762858,372.83878291345,374.34913794521
"101",101,347,3,126.203796358121,249.104253801651,NA,NA,NA,NA,3.30333891459021,NA,"Lower","Middle",NA,"Mainstem","Mainstem",330.079874982728,NA,247.045123715511,371.597250616337
"102",102,331,8,1.52917881449732,4.46855780454743,NA,NA,1.41020017555279,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",370.859370410179,371.351307215906,371.351307215906,370.650681246818
"103",103,301,11,4.88721095394643,18.8764513103794,0.665110901695777,3.19346763769886,1.51020017555273,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",368.789902352863,367.983906975286,368.348847340192,370.700681246818
"104",104,313,7,11.8413451380756,36.5279575365229,NA,NA,0.783882495025176,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",374.860203260961,376.471353067853,372.12090235291,369.553639911529
"105",105,357,13,3.92027625795564,11.3716096977369,1.4643489047912,1.74593838743571,0.22025431330991,0.0107600269382319,0.231014340248142,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",366.357534125807,367.584287973738,365.584841159992,366.487978924919
"106",106,329,13,2.70609018396008,11.3225563524529,0.150162830795627,0.502489654795936,0.120254313309893,0.348232398574334,0.227978085264442,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",365.944130957744,364.121104752781,366.306565526312,366.301648116415
"107",107,316,11,22.0407415468713,66.936734581196,0,8.60508930333187,0,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",353.049558711977,344.395849442419,348.999466684905,366.3375560404
"108",108,334,6,9.9899643579588,11.9545237814667,NA,NA,8.84339474201025,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",354.946807477127,353.852083199634,353.302011336571,358.146795248983
"109",109,295,8,8.41419459195216,21.8425471643942,NA,NA,7.54168560684208,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",359.337976430643,357.492605590807,362.949564376978,358.797649816567
"110",110,295,13,12.7681966370188,47.9790745572934,0.549557458526571,3.00559802825293,0.302863328828649,0.148152192852343,0.451015521680993,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",358.238349566767,351.552605429627,354.393100235651,362.819785570158
"111",111,297,13,5.43017792721437,18.094077611487,2.85517577026175,4.49982608031996,0,0.152566370544035,0.152566370544035,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",356.031001899419,356.354394898277,357.999334353236,355.028517926842
"112",112,285,10,2.13756033696546,4.8752943998886,NA,NA,0.34954220783,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",354.763023514772,353.504086911409,355.541647248375,355.254144487605
"113",113,305,10,2.09478974651782,5.24265427843357,NA,0.576537392699025,0.100000000000127,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",354.944162724268,354.063122396149,355.215075709496,355.12937338369
"114",114,319,9,83.0483142461156,243.125785187013,NA,1.75395575570982,5.86573698249107,NA,NA,"Lower","Lower","Middle","Mainstem","Mainstem","Mainstem",301.010871318866,300.310774118142,269.633921452447,348.872389329462
"115",115,310,7,13.3826407174772,23.3544405735769,NA,11.4506878220434,0.564941759809746,NA,NA,NA,"Middle","Middle",NA,"Mainstem","Mainstem",352.940558871321,NA,354.119760870352,352.087728700613
"116",116,310,11,12.9027545975395,36.4758147304059,0,9.51880345365821,0.235950671782193,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",347.602894530228,348.522389668603,343.966275430978,351.687282484817
"117",117,310,14,4.82897404353229,13.7128163387967,4.02808161194035,0.145695873737921,0.0512235760699623,0.397682209293445,0.346458633223483,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",351.041077038293,349.555266342956,350.926048897312,351.70684613499
"118",118,341,6,8.45901254619198,8.81157891673628,NA,NA,8.45901254619197,0.352566370544308,8.10644617564767,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",353.634493712296,355.026807013146,355.026807013146,352.242180411445
"119",119,310,11,2.38436680107162,6.12222341274373,1.25946268323487,0.526828140120087,0.636563276359488,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",347.488532666167,347.864685617713,347.193510043798,347.038642475678
"120",120,313,13,2.61030385005581,6.16120867426018,0.100000000000004,1.92054082045363,0.105417728013643,0,0.105417728013643,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",346.475299217115,346.775778565512,345.706712343752,346.790639322841
"121",121,294,4,3.22125634597134,3.22125634597134,NA,NA,NA,NA,NA,"Middle",NA,"Middle","Mainstem",NA,"Mainstem",348.631394722954,349.341211202246,NA,346.720360837499
"122",122,323,7,3.94755387702393,8.45052836396867,NA,NA,0.367682201717278,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",341.553334721576,342.797985358526,338.850431481502,341.924437583519
"123",123,311,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Middle",NA,NA,"Mainstem",341.740596482661,NA,NA,341.740596482661
"124",124,308,11,28.0199033021714,30.3245770848428,0.615720647502703,1.4228399780255,26.774424711285,0.0479370889406382,26.8223618002256,"Lower","Lower","Lower/Middle","Mainstem","Mainstem","Mainstem",311.901893503608,309.611452733794,309.207893068533,318.650780877855
"125",125,316,12,34.2790738886048,136.502669827454,0.0377551617015342,0.286403092434819,0.100000000000182,0.0496968486281767,0.149696848628359,"Middle","Lower","Middle","Mainstem","Mainstem","Mainstem",325.002590052826,335.224624476095,302.380504039304,336.433144098815
"126",126,308,5,137.558519803695,352.870864805207,NA,NA,0.118280034054209,NA,NA,"Lower","Lower","Middle","Mainstem","Mainstem","Mainstem",252.252076618059,214.238266913705,184.45419964482,321.953579431488
